reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c79af456-01f8-4ec7-833f-2347355eeb66,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tampilan lebih bagus tp fungsional makin buruk. Tiba"" disuruh verifikasi, tp tdk ada respon ketika sudah upload ktp dan foto. Mau bayar pajak, peringatan ""layanan tidak tersedia"". Sudah pernah pajak sebelumnya di apk, tiba"" mau pajak di th berikutnya tdk bisa ""data tdk sesuai dg dukcapil/samsat"".",1,1,2.1.1,2026-05-10 05:36:25,"Hai Sahabat SIGNAL, Mohon maaf atas kendala tersebut.

Demi bisa diperiksa & ditindaklanjuti secara lengkap, mohon kirim detail kendala Anda ke email info@samsatdigital.id atau hubungi Customer Service di website samsatdigital.id.
Kami selalu berusaha meningkatkan layanan agar SIGNAL lebih mudah & nyaman saat digunakan.

Terima kasih,
Tim SIGNAL
",2026-05-11 01:44:15,2.1.1
7a902561-4262-48b3-b45d-3fcb37a8740e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ditunggu aturan terbaru yang mana bayar pajak bisa dengan ktp bukan pemilik pertama saat registrasi. Aplikasi sudah user friendly tapi waktu daftar nomor rangka tidak terdaftar kemungkinan karena motor second. Tolong lebih dipermudah mau bayar pajak aja masih dipersulit apalagi yang tidak mau bayar.,1,11,2.1.1,2026-04-17 23:58:25,,,2.1.1
c47125d0-3155-45d5-b0e7-b453ae9d74c8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"pas di update mau ngecek pajak kendaraan sendiri aja, jd ribet mesti isi NiK, nopol,no rangka, no telp, email, sblm update tanpa embel2 langsung klik cek pajak otomatis, aneh makin ribet aja kan buat kendaraan yg terdaftar ngapain lg hrs ribet begitu, udah simpel kemarin2 skrng malah bikin ribet...",1,8,2.1.1,2026-04-22 08:07:57,"Hai, terima kasih banyak atas ulasannya :) Terus gunakan Aplikasi SIGNAL - Samsat Digital Nasional dan nikmati kemudahan membayar pajak kendaraan bermotor secara aman dan mudah. Apabila mengalami kendala, jangan ragu untuk hubungi Tim Customer Service melalui email kami info@samsatdigital.id. Terima kasih :) #JadiLebihMudah",2022-02-07 06:55:02,2.1.1
026afa12-8427-4c1d-b90d-7047b89d8f80,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ciri khas aplikasi goverment, lelet, fullbug, tidak praktis, ribet, mau daftarkan kendaraan bermotor malah gabisa, keterangan data dukcapil & ranmor berbeda, lah situ kualitas kerja nya gimana??kok bisa pendataan bisa tidak sinkron??? payah ujung ujung nya masih ke kantor samsat yg nunggu lama pake banget itu",1,1,2.1.1,2026-05-11 04:36:17,,,2.1.1
a0f9a8fa-d1cf-4d7b-b6d3-28e793646a45,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi sampah, saat menambahkan data kendaraan, saya sudah memasukkan detail data nya, namun malahan keluar ""gagal mendaftarkan kendaraan...."", ciri khas aplikasi goverment, sampah, ending nya tetep manual dan datang ke lokasi, sekarang sudah zaman nya teknologi, semua sudah AI, mohon itu, orang-orang yang gk becus kerja, pecat ajj",1,3,2.1.1,2026-05-05 07:16:44,,,2.1.1
d32f4389-b229-4f19-b366-82d6b439530f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi nya sangat tidak jelas, saat mau daftarkan kendaraan selalu gagal ""data regiden ranmor tidak sesuai"", padahal pas di cek kendaraan bisa ketemu yg artinya sesuai, saat muncul tagihan dan mau dibayar malah gagal ""layanan tidak tersedia"", aplikasi ampas kebakyakan di korup apa gimana dana develop nya",1,1,2.1.1,2026-05-11 12:46:23,,,2.1.1
ff4336b0-dd22-452c-8ca6-a428eb39c76e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"terima kasih atas kemudahan membayar pajak,Sangat cepat dan mudah saran untuk LACAK mungkin bisa lebih di update setiap dokumen yang sudah di kirim harapan ada Tambahan diadakan bayar pajak tahunan untuk kendaraan bukan satu KK untuk menigkatkan pendapatan pajak dan taat pajak.",5,5,2.1.1,2026-05-02 03:41:15,"Hai, terima kasih banyak atas ulasannya :) Terus gunakan Aplikasi SIGNAL - Samsat Digital Nasional dan nikmati kemudahan membayar pajak kendaraan bermotor secara aman dan mudah. Apabila mengalami kendala, jangan ragu untuk hubungi Tim Customer Service melalui email kami info@samsatdigital.id.

Terima kasih :)
#JadiLebihMudah
",2022-01-18 02:18:35,2.1.1
ca8be164-06bf-4c1f-9273-e637d16e61dd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"cukup bagus, memudahkan, tapi sayangnya di Samsat Kuantan singingi dengan pilihan pengiriman pos indonesia harus di konfirmasi ke kantor pos dulu baru di prosesnya, mungkin adminnya tidak buka2 aplikasi karna jarang yg melakukan pembayaran melalui aplikasi",4,1,2.1.1,2026-05-07 11:33:57,,,2.1.1
5053315e-db2e-45a2-8d6b-3753dc62c2ab,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"proses pembayaran itu cepat dari aplikasi signal, tapi giliran pengiriman dari Samsat setelah pembayaran, bikin geleng² kepala. lamaaa sekali. katanya seminggu, ditunggu seminggu, ngga datang juga. 2 Minggu juga ngga datang. selalu informasinya sedang di proses. sudah hubungi pihak Cs Samsat sampai follow up ke pihak jasa kirim (kirain bermasalah di pihak sana, ternyata tidak) bilangnya cuma sabar dan tunggu. hampir 3 Minggu, dokumen baru bisa sampai ke rumah.",3,3,2.1.1,2026-04-30 05:39:38,,,2.1.1
381381cd-2641-4b76-8c41-c184b2e04f00,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tolong pengirimannya lebih di percepat, surat sy terima 2 bulan setelah pembayaran, mungkin bisa di kolaborasikan dengan jasa kirim lain yang lebih banyak tidak hanya 1 jasa kirim. semoga dapat menjadi bahan evaluasi. mantap samsat nasional sudah mempermudah pembayaran pajak..",3,3,2.1.1,2026-04-27 11:43:22,,,2.1.1
